date,price,address,street,locality,settlement,postcode,postcode_district,category,property_type,new_build,tenure,district,settlement_zone,in_search_geography,residential_comparable,exclusion_reason,txn_id,url
2023-04-14,555000,"19, HARROW ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7DW",HARROW ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7DW,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,FD226036-18AB-4CB7-E053-4804A8C00430,http://landregistry.data.gov.uk/data/ppi/transaction/FD226036-18AB-4CB7-E053-4804A8C00430/current
2023-04-14,732500,"79, REPTON ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7EN",REPTON ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7EN,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,FD226036-1710-4CB7-E053-4804A8C00430,http://landregistry.data.gov.uk/data/ppi/transaction/FD226036-1710-4CB7-E053-4804A8C00430/current
2023-04-14,976000,"9, ELM TREE AVENUE, WEST BRIDGFORD, NOTTINGHAM, NG2 7JU",ELM TREE AVENUE,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7JU,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,FFA361DB-101F-8A03-E053-4804A8C01F61,http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DB-101F-8A03-E053-4804A8C01F61/current
2023-04-18,875000,"ADBOLTON HALL NURSING HOME, ADBOLTON LANE, WEST BRIDGFORD, NOTTINGHAM, NG2 5AS",ADBOLTON LANE,WEST BRIDGFORD,WEST BRIDGFORD,NG2 5AS,NG2,B,Other,no,freehold,RUSHCLIFFE,nottingham_urban,no,no,category_B_not_full_market_value; non_residential_type_O,FFA361DB-8ABC-8A03-E053-4804A8C01F61,http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DB-8ABC-8A03-E053-4804A8C01F61/current
2023-04-21,634000,"38, BRIDGFORD ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6AB",BRIDGFORD ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6AB,NG2,A,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,FFA361DB-0FDE-8A03-E053-4804A8C01F61,http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DB-0FDE-8A03-E053-4804A8C01F61/current
2023-04-28,553442,"FLAT 1, 48, PUMPHOUSE GARDENS, WEST BRIDGFORD, NOTTINGHAM, NG2 5PQ",PUMPHOUSE GARDENS,WEST BRIDGFORD,WEST BRIDGFORD,NG2 5PQ,NG2,B,Other,yes,freehold,RUSHCLIFFE,nottingham_urban,no,no,category_B_not_full_market_value; non_residential_type_O,36A61A95-588E-DEF2-E063-4704A8C046AE,http://landregistry.data.gov.uk/data/ppi/transaction/36A61A95-588E-DEF2-E063-4704A8C046AE/current
2023-05-26,640000,"14, ST HELENS ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6EX",ST HELENS ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6EX,NG2,A,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,0B853950-43B2-69A5-E063-4704A8C07DAC,http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-43B2-69A5-E063-4704A8C07DAC/current
2023-05-26,1300000,"28, DOVEDALE ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6JA",DOVEDALE ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6JA,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,152AB734-0F42-E651-E063-4704A8C061D9,http://landregistry.data.gov.uk/data/ppi/transaction/152AB734-0F42-E651-E063-4704A8C061D9/current
2023-05-26,795000,"45, MUSTERS ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7PQ",MUSTERS ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7PQ,NG2,A,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,FFA361DB-115C-8A03-E053-4804A8C01F61,http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DB-115C-8A03-E053-4804A8C01F61/current
2023-06-02,707000,"142, REPTON ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7EL",REPTON ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7EL,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,01EB45F0-0E20-40F3-E063-4704A8C05FDE,http://landregistry.data.gov.uk/data/ppi/transaction/01EB45F0-0E20-40F3-E063-4704A8C05FDE/current
